id,location,name,type
55cba2476c522cafdb053b85,"[40.7655827, -73.9827418]","Patsy'S Italian Restaurant","Point"
55cba2476c522cafdb053b86,"[40.8316981, -73.8513114]","Lulu'S Coffee Shop","Point"
55cba2476c522cafdb053b87,"[40.760982, -73.960573]","Dangerfield'S Night Club","Point"
55cba2476c522cafdb053b88,"[40.735114, -74.00065800000002]","El Charro Espanol","Point"
55cba2476c522cafdb053b89,"[40.768679, -73.9556394]","Finnegan'S Wake","Point"
55cba2476c522cafdb053b8a,"[40.6188665, -73.9907801]","Da Vinci Pizza","Point"
55cba2476c522cafdb053b8b,"[40.678776, -73.9681178]","Mitchell'S Restaurant","Point"
55cba2476c522cafdb053b8c,"[40.739796, -73.979839]","Mexico Lindo Restaurant","Point"
55cba2476c522cafdb053b8d,"[40.8137649, -73.815175]","Marina Delray","Point"
55cba2476c522cafdb053b8e,"[40.753182, -73.99682299999999]","Twins Pub","Point"
55cba2476c522cafdb053b8f,"[40.6142428, -73.9270926]","New Floridian Diner","Point"
55cba2476c522cafdb053b90,"[40.612598, -74.03345]","Narrows Coffee Shop","Point"
55cba2476c522cafdb053b91,"[40.7231081, -74.0029643]","Broome Street Bar","Point"
55cba2476c522cafdb053b92,"[40.7749286, -73.9121201]","O'Hanlon'S Pub","Point"
55cba2476c522cafdb053b93,"[40.74133339999999, -73.90364869999999]","Charlies Sports Bar","Point"
55cba2476c522cafdb053b94,"[40.77105400000001, -73.9593019]","Jg Melon Restaurant","Point"
55cba2476c522cafdb053b95,"[40.778475, -73.7775242]","Jack'S Pizza & Pasta","Point"
55cba2476c522cafdb053b96,"[40.7258072, -74.0084936]","Emerald Pub","Point"
55cba2476c522cafdb053b97,"[40.7665961, -73.9788694]","Tap Room","Point"
55cba2476c522cafdb053b98,"[40.7665961, -73.9788694]","Cocktail Room (Nyac)","Point"
55cba2476c522cafdb053b99,"[40.7686093, -73.98557920000002]","Flame Restaurant Coffee House","Point"
55cba2476c522cafdb053b9a,"[40.7638694, -73.9629729]","Jackson Hole","Point"
55cba2476c522cafdb053b9b,"[40.7017759, -73.8811834]","Zum Stammtisch","Point"
55cba2476c522cafdb053b9c,"[40.730605, -73.985535]","John'S Restaurant","Point"
55cba2476c522cafdb053b9d,"[40.728848, -73.988991]","Grassroot Tavern","Point"
55cba2476c522cafdb053b9e,"[40.6369042, -74.1350211]","Buddy'S Wonder Bar","Point"
55cba2476c522cafdb053b9f,"[40.703885, -73.876876]","The Assembly Bar","Point"
55cba2476c522cafdb053ba0,"[40.7523004, -73.9870818]","Mr Broadway Kosher Restaurant","Point"
55cba2476c522cafdb053ba1,"[40.764766, -73.911784]","Piccola Venezia","Point"
55cba2476c522cafdb053ba2,"[40.5655379, -74.1003379]","Ni-Ni'S Cafe","Point"
55cba2476c522cafdb053ba3,"[40.8678204, -73.9215284]","Capitol Restaurant","Point"
55cba2476c522cafdb053ba4,"[40.768019, -73.9550129]","Malaga Restaurant","Point"
55cba2476c522cafdb053ba5,"[40.762307, -73.977035]","La Bonne Soupe Bistro","Point"
55cba2476c522cafdb053ba6,"[40.7561212, -73.9672945]","Mimis Restaurant & Bar","Point"
55cba2476c522cafdb053ba7,"[40.655669, -73.83856999999999]","Lenny'S Clam Bar","Point"
55cba2476c522cafdb053ba8,"[40.7641379, -73.9542568]","Griffis Faculty Club","Point"
55cba2476c522cafdb053ba9,"[40.700598, -73.82629709999999]","Little Brown Jug","Point"
55cba2476c522cafdb053baa,"[40.7089494, -73.8305269]","Dani Pizza And Restaurant","Point"
55cba2476c522cafdb053bab,"[40.7782266, -73.98185529999999]","Gray'S Papaya","Point"
55cba2476c522cafdb053bac,"[40.6487475, -73.95802549999999]","Mcdonald'S","Point"
55cba2476c522cafdb053bad,"[40.5838274, -73.95006049999999]","El Greco Diner","Point"
55cba2476c522cafdb053bae,"[40.7324849, -74.00259299999999]","One If By Land Two If By Sea","Point"
55cba2476c522cafdb053baf,"[40.6797488, -73.8618426]","Mcdonald'S","Point"
55cba2476c522cafdb053bb0,"[40.77151449999999, -73.9819129]","Fiorellos","Point"
55cba2476c522cafdb053bb1,"[40.5947365, -73.9812843]","Lb Spumoni Gardens","Point"
55cba2476c522cafdb053bb2,"[40.7692995, -73.8344778]","Amore Pizzeria & Restaurant","Point"
55cba2476c522cafdb053bb3,"[40.89794699999999, -73.86697]","The Lark'S Nest","Point"
55cba2476c522cafdb053bb4,"[40.8502883, -73.8786113]","Terrace Cafe","Point"
55cba2476c522cafdb053bb5,"[40.8502883, -73.8786113]","African Terrace","Point"
55cba2476c522cafdb053bb6,"[40.8502883, -73.8786113]","Cool Zone","Point"
55cba2476c522cafdb053bb7,"[40.8502883, -73.8786113]","African Market (Baboon Cafe)","Point"
55cba2476c522cafdb053bb8,"[40.8502883, -73.8786113]","Beaver Pond","Point"
55cba2476c522cafdb053bb9,"[40.6134163, -74.1005771]","Roadhouse Restaurant","Point"
55cba2476c522cafdb053bba,"[40.749869, -73.971128]","Ford Foundation Cafeteria","Point"
55cba2476c522cafdb053bbb,"[40.736224, -74.00066699999999]","Elephant & Castle","Point"
55cba2476c522cafdb053bbc,"[40.752998, -73.97705599999999]","Oyster Bar","Point"
55cba2476c522cafdb053bbd,"[40.7258174, -73.98431219999999]","Cherry Tavern","Point"
55cba2476c522cafdb053bbe,"[40.7561037, -73.9827221]","Red Flame Diner","Point"
55cba2476c522cafdb053bbf,"[40.58116500000001, -74.099018]","Colonnade Diner","Point"
55cba2476c522cafdb053bc0,"[40.775493, -73.9537859]","Brady'S Bar","Point"
55cba2476c522cafdb053bc1,"[40.6157107, -73.9181846]","Mill Basin Kosher Deli","Point"
55cba2476c522cafdb053bc2,"[40.756295, -73.977114]","Maggies Place","Point"
55cba2476c522cafdb053bc3,"[40.7397546, -74.0062401]","Da Silvano Restaurant","Point"
55cba2476c522cafdb053bc4,"[40.7443236, -73.9765607]","Benjamin","Point"
55cba2476c522cafdb053bc5,"[40.756594, -73.984838]","Jimmy'S Corner","Point"
55cba2476c522cafdb053bc6,"[40.6429349, -73.9789394]","Denny'S Pub","Point"
55cba2476c522cafdb053bc7,"[40.733235, -74.00340299999999]","Maries Crisis Cafe","Point"
55cba2476c522cafdb053bc8,"[40.7335084, -74.00341019999999]","Boots & Saddle Bar","Point"
55cba2476c522cafdb053bc9,"[40.6202393, -74.0078144]","New Parkway Restaurant","Point"
55cba2476c522cafdb053bca,"[-28.0168595, 153.1628795]","Sammy'S Steakhouse","Point"
55cba2476c522cafdb053bcb,"[40.740848, -74.000399]","Cafe Riazor","Point"
55cba2476c522cafdb053bcc,"[40.759647, -73.9714599]","The Brook","Point"
55cba2476c522cafdb053bcd,"[40.7179289, -73.998254]","Il Cortile Restaurant","Point"
55cba2476c522cafdb053bce,"[40.7261357, -74.002139]","Raouls","Point"
55cba2476c522cafdb053bcf,"[40.718386, -73.94347599999999]","Frost Restaurant","Point"
55cba2476c522cafdb053bd0,"[40.757028, -73.97691499999999]","Hatsuhana Restaurant","Point"
55cba2476c522cafdb053bd1,"[40.7568328, -73.9668354]","La Mangeoire","Point"
55cba2476c522cafdb053bd2,"[40.7288261, -73.814835]","Valentino'S Pizza","Point"
55cba2476c522cafdb053bd3,"[40.764834, -73.970169]","Viand Coffee Shop","Point"
55cba2476c522cafdb053bd4,"[40.751453, -73.970668]","Palm Too","Point"
55cba2476c522cafdb053bd5,"[41.6823902, -91.5971285]","Steve'S Coffee Shop","Point"
55cba2476c522cafdb053bd6,"[40.8863835, -73.9100082]","Blue Bay Restaurant","Point"
55cba2476c522cafdb053bd7,"[40.756457, -73.9717]","Nada-Sushi","Point"
55cba2476c522cafdb053bd8,"[40.67096, -73.942599]","The Hytes Bar","Point"
55cba2476c522cafdb053bd9,"[40.7298006, -73.7796156]","P.J.' S","Point"
55cba2476c522cafdb053bda,"[40.7813724, -73.9486257]","Reif'S Tavern","Point"
55cba2476c522cafdb053bdb,"[40.630788, -74.1018239]","Jody'S Club","Point"
55cba2476c522cafdb053bdc,"[40.7703224, -73.8335566]","Whitestone Lanes","Point"
55cba2476c522cafdb053bdd,"[40.7347681, -73.8818014]","John'S Pizzeria","Point"
55cba2476c522cafdb053bde,"[40.8541848, -73.790804]","Seashore Restaurant","Point"
55cba2476c522cafdb053bdf,"[40.761876, -73.76078199999999]","Marbella Restaurant","Point"
55cba2476c522cafdb053be0,"[40.7302678, -74.00041689999999]","Caffe Reggio","Point"
55cba2476c522cafdb053be1,"[40.7567949, -73.984126]","Cafe Un Deux Trois","Point"
55cba2476c522cafdb053be2,"[40.6481972, -73.88228649999999]","Armando'S Pizza","Point"
55cba2476c522cafdb053be3,"[40.7760336, -73.9818416]","Dan Tempura","Point"
55cba2476c522cafdb053be4,"[40.7320132, -73.994428]","Knickerbocker Bar & Grill","Point"
55cba2476c522cafdb053be5,"[40.7592843, -73.9873049]","Pergola Des Artistes","Point"
55cba2476c522cafdb053be6,"[40.6895078, -73.9808063]","Mcdonald'S","Point"
55cba2476c522cafdb053be7,"[40.74754, -73.9735762]","El Pote Espanol","Point"
55cba2476c522cafdb053be8,"[40.7177182, -73.94523509999999]","Cafe Capri","Point"
55cba2476c522cafdb053be9,"[40.703195, -73.99472279999999]","The River Cafe","Point"
55cba2476c522cafdb053bea,"[40.703721, -74.012376]","White Horse Tavern","Point"
55cba2476c522cafdb053beb,"[40.8426433, -73.85534559999999]","Bronx Grill","Point"
55cba2476c522cafdb053bec,"[40.7151413, -74.00893959999999]","Mudville Saloon","Point"
55cba2476c522cafdb053bed,"[40.6632351, -73.9321666]","White Castle","Point"
55cba2476c522cafdb053bee,"[40.8377713, -73.7826735]","Johnny'S Reef Restaurant","Point"
55cba2476c522cafdb053bef,"[41.3099228, -72.7329266]","White Castle","Point"
55cba2476c522cafdb053bf0,"[40.743009, -73.92126499999999]","White Castle","Point"
55cba2476c522cafdb053bf1,"[40.6417669, -73.993031]","White Castle","Point"
55cba2476c522cafdb053bf2,"[40.684236, -74.00184349999999]","Ferdinando'S Restaurant","Point"
55cba2476c522cafdb053bf3,"[40.7200906, -73.8451846]","Mcdonald'S","Point"
55cba2476c522cafdb053bf4,"[40.7757194, -73.9623333]","Viand Cafe","Point"
55cba2476c522cafdb053bf5,"[40.77620840000001, -73.9624221]","Nectar Coffee Shop","Point"
55cba2476c522cafdb053bf6,"[40.7230087, -74.0030657]","The Cupping Room","Point"
55cba2476c522cafdb053bf7,"[40.656262, -73.9308722]","Mcdonald'S","Point"
55cba2476c522cafdb053bf8,"[40.7364597, -73.9866918]","Pete'S Tavern","Point"
55cba2476c522cafdb053bf9,"[40.7483444, -73.7566136]","Gino'S Pizzeria","Point"
55cba2476c522cafdb053bfa,"[40.7285929, -74.00200099999999]","Villa Mosconi Restaurant","Point"
55cba2476c522cafdb053bfb,"[40.7077614, -74.0075542]","Jim Brady'S Restaurant","Point"
55cba2476c522cafdb053bfc,"[40.878342, -73.9035553]","P & K'S Grill","Point"
55cba2476c522cafdb053bfd,"[40.8812538, -73.9030535]","Mcdonald'S","Point"
55cba2476c522cafdb053bfe,"[40.8420198, -73.9395471]","Reme Restaurant","Point"
55cba2476c522cafdb053bff,"[40.7798381, -73.9598324]","The New Amity Restaurant","Point"
55cba2476c522cafdb053c00,"[40.7315763, -74.00041259999999]","Volare Restaurant","Point"
55cba2476c522cafdb053c01,"[40.7528838, -73.97212999999999]","Sparks Steak House","Point"
55cba2476c522cafdb053c02,"[40.715159, -73.807954]","The Dart Inn","Point"
55cba2476c522cafdb053c03,"[40.7166026, -73.951199]","Bamonte'S Restaurant","Point"
55cba2476c522cafdb053c04,"[40.7543101, -73.9996841]","Mcdonald'S","Point"
55cba2476c522cafdb053c05,"[40.7823455, -73.8456653]","Pizza Town","Point"
55cba2476c522cafdb053c06,"[40.8977501, -73.86720489999999]","John Mulligan'S Fireside Pub","Point"
55cba2476c522cafdb053c07,"[40.761574, -73.759249]","Burger King","Point"
55cba2476c522cafdb053c08,"[40.7258405, -74.0094737]","Ear Inn","Point"
